Grid Size ,32
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,1,21,0,80.578918457,80.57897949,0,443.183929444,-1248.97296143,0
0,1,21,1,80.578918457,80.57885742,0,443.183929444,-1168.39404297,0
0,1,20,1,80.578918457,80.57885742,0,362.605010986,-1168.39404297,0
0,0,21,0,80.578918457,80.57897949,0,443.183929444,-1248.97296143,0
0,1,20,1,80.578918457,80.57885742,0,362.605010986,-1168.39404297,0
0,1,20,0,80.578918457,80.57897949,0,362.605010986,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,22,0,80.578918457,80.57897949,0,523.7628479,-1248.97296143,0
0,1,22,1,80.578918457,80.57885742,0,523.7628479,-1168.39404297,0
0,1,21,1,80.578918457,80.57885742,0,443.183929444,-1168.39404297,0
0,0,22,0,80.578918457,80.57897949,0,523.7628479,-1248.97296143,0
0,1,21,1,80.578918457,80.57885742,0,443.183929444,-1168.39404297,0
0,1,21,0,80.578918457,80.57897949,0,443.183929444,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,23,0,80.578918457,80.57897949,0,604.341766357,-1248.97296143,0
0,1,23,1,80.578918457,80.57885742,0,604.341766357,-1168.39404297,0
0,1,22,1,80.578918457,80.57885742,0,523.7628479,-1168.39404297,0
0,0,23,0,80.578918457,80.57897949,0,604.341766357,-1248.97296143,0
0,1,22,1,80.578918457,80.57885742,0,523.7628479,-1168.39404297,0
0,1,22,0,80.578918457,80.57897949,0,523.7628479,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,24,0,80.578918457,80.57897949,0,684.920684814,-1248.97296143,0
0,1,24,1,80.578918457,80.57885742,0,684.920684814,-1168.39404297,0
0,1,23,1,80.578918457,80.57885742,0,604.341766357,-1168.39404297,0
0,0,24,0,80.578918457,80.57897949,0,684.920684814,-1248.97296143,0
0,1,23,1,80.578918457,80.57885742,0,604.341766357,-1168.39404297,0
0,1,23,0,80.578918457,80.57897949,0,604.341766357,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,80.578857422,80.57897949,0,765.499572754,-1248.97296143,0
0,1,25,1,80.578857422,80.57885742,0,765.499572754,-1168.39404297,0
0,1,24,1,80.578918457,80.57885742,0,684.920684814,-1168.39404297,0
0,0,25,0,80.578857422,80.57897949,0,765.499572754,-1248.97296143,0
0,1,24,1,80.578918457,80.57885742,0,684.920684814,-1168.39404297,0
0,1,24,0,80.578918457,80.57897949,0,684.920684814,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,80.578918457,80.57897949,0,846.078460693,-1248.97296143,0
0,1,26,1,80.578918457,80.57885742,0,846.078460693,-1168.39404297,0
0,1,25,1,80.578857422,80.57885742,0,765.499572754,-1168.39404297,0
0,0,26,0,80.578918457,80.57897949,0,846.078460693,-1248.97296143,0
0,1,25,1,80.578857422,80.57885742,0,765.499572754,-1168.39404297,0
0,1,25,0,80.578857422,80.57897949,0,765.499572754,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,80.578918457,80.57897949,0,926.65737915,-1248.97296143,0
0,1,27,1,80.578918457,80.57885742,0,926.65737915,-1168.39404297,0
0,1,26,1,80.578918457,80.57885742,0,846.078460693,-1168.39404297,0
0,0,27,0,80.578918457,80.57897949,0,926.65737915,-1248.97296143,0
0,1,26,1,80.578918457,80.57885742,0,846.078460693,-1168.39404297,0
0,1,26,0,80.578918457,80.57897949,0,846.078460693,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,80.578918461,80.57897949,0,1007.23629761,-1248.97296143,0
0,1,28,1,80.578918461,80.57885742,0,1007.23629761,-1168.39404297,0
0,1,27,1,80.578918457,80.57885742,0,926.65737915,-1168.39404297,0
0,0,28,0,80.578918461,80.57897949,0,1007.23629761,-1248.97296143,0
0,1,27,1,80.578918457,80.57885742,0,926.65737915,-1168.39404297,0
0,1,27,0,80.578918457,80.57897949,0,926.65737915,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,80.57885742,80.57897949,0,1087.81518555,-1248.97296143,0
0,1,29,1,80.57885742,80.57885742,0,1087.81518555,-1168.39404297,0
0,1,28,1,80.578918461,80.57885742,0,1007.23629761,-1168.39404297,0
0,0,29,0,80.57885742,80.57897949,0,1087.81518555,-1248.97296143,0
0,1,28,1,80.578918461,80.57885742,0,1007.23629761,-1168.39404297,0
0,1,28,0,80.578918461,80.57897949,0,1007.23629761,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,30,0,80.57897949,80.57897949,0,1168.394104,-1248.97296143,0
0,1,30,1,80.57897949,80.57885742,0,1168.394104,-1168.39404297,0
0,1,29,1,80.57885742,80.57885742,0,1087.81518555,-1168.39404297,0
0,0,30,0,80.57897949,80.57897949,0,1168.394104,-1248.97296143,0
0,1,29,1,80.57885742,80.57885742,0,1087.81518555,-1168.39404297,0
0,1,29,0,80.57885742,80.57897949,0,1087.81518555,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,31,0,80.57885742,80.57885742,0,1248.97302246,-1248.97302246,0
0,1,31,1,80.57885742,80.57897949,0,1248.97302246,-1168.394104,0
0,1,30,1,80.57897949,80.57885742,0,1168.394104,-1168.39404297,0
0,0,31,0,80.57885742,80.57885742,0,1248.97302246,-1248.97302246,0
0,1,30,1,80.57897949,80.57885742,0,1168.394104,-1168.39404297,0
0,1,30,0,80.57897949,80.57897949,0,1168.394104,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,31,1,80.57885742,80.57897949,0,1248.97302246,-1168.394104,0
0,0,0,1,80.57885742,80.57897949,0,-1248.97314453,-1168.39398193,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,0,80.57885742,80.57897949,0,-1248.97314453,-1248.97296143,0
0,1,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
0,1,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,1,1,2,80.57897949,80.57897949,0,-1168.39422607,-1087.81500245,0
0,1,0,2,80.57885742,80.57897949,0,-1248.97314453,-1087.81500245,0
0,0,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,1,0,2,80.57885742,80.57897949,0,-1248.97314453,-1087.81500245,0
0,1,0,1,80.57885742,80.57897949,0,-1248.97314453,-1168.39398193,0
0,1,0,0,80.57885742,80.57897949,0,-1248.97314453,-1248.97296143,0
0,1,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
0,1,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
0,1,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,1,2,2,80.57885742,80.57897949,0,-1087.81530762,-1087.81512452,0
0,1,1,2,80.57897949,80.57897949,0,-1168.39422607,-1087.81500245,0
0,0,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,1,1,2,80.57897949,80.57897949,0,-1168.39422607,-1087.81500245,0
0,1,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,1,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
0,1,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
0,1,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
0,1,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,1,3,2,80.578979496,80.57897949,0,-1007.23638916,-1087.81512452,0
0,1,2,2,80.57885742,80.57897949,0,-1087.81530762,-1087.81512452,0
0,0,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,1,2,2,80.57885742,80.57897949,0,-1087.81530762,-1087.81512452,0
0,1,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,1,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
0,1,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
0,1,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
0,1,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,1,4,2,80.578857422,80.57897949,0,-926.657470703,-1087.81512452,0
0,1,3,2,80.578979496,80.57897949,0,-1007.23638916,-1087.81512452,0
0,0,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,1,3,2,80.578979496,80.57897949,0,-1007.23638916,-1087.81512452,0
0,1,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,1,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
0,1,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
0,1,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
0,1,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,1,5,2,80.578857422,80.57897949,0,-846.078613281,-1087.81512452,0
0,1,4,2,80.578857422,80.57897949,0,-926.657470703,-1087.81512452,0
0,0,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,1,4,2,80.578857422,80.57897949,0,-926.657470703,-1087.81512452,0
0,1,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,1,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
0,1,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
0,1,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
0,1,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,1,6,2,80.578857422,80.57897949,0,-765.499755859,-1087.81512452,0
0,1,5,2,80.578857422,80.57897949,0,-846.078613281,-1087.81512452,0
0,0,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,1,5,2,80.578857422,80.57897949,0,-846.078613281,-1087.81512452,0
0,1,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,1,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
0,1,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
0,1,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
0,1,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,1,7,2,80.578857421,80.57897949,0,-684.920898438,-1087.81512452,0
0,1,6,2,80.578857422,80.57897949,0,-765.499755859,-1087.81512452,0
0,0,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,1,6,2,80.578857422,80.57897949,0,-765.499755859,-1087.81512452,0
0,1,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,1,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
0,1,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
0,1,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
0,1,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,1,8,2,80.578918457,80.57897949,0,-604.342010499,-1087.81512452,0
0,1,7,2,80.578857421,80.57897949,0,-684.920898438,-1087.81512452,0
0,0,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,1,7,2,80.578857421,80.57897949,0,-684.920898438,-1087.81512452,0
0,1,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,1,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
0,1,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
0,1,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
0,1,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,1,9,2,80.578979493,80.57897949,0,-523.763061523,-1087.81512452,0
0,1,8,2,80.578918457,80.57897949,0,-604.342010499,-1087.81512452,0
0,0,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,1,8,2,80.578918457,80.57897949,0,-604.342010499,-1087.81512452,0
0,1,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,1,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
0,1,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
0,1,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
0,1,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,1,10,2,80.578948974,80.57897949,0,-443.18409729,-1087.81512452,0
0,1,9,2,80.578979493,80.57897949,0,-523.763061523,-1087.81512452,0
0,0,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,1,9,2,80.578979493,80.57897949,0,-523.763061523,-1087.81512452,0
0,1,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,1,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
0,1,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
0,1,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
0,1,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,1,11,2,80.57888794,80.57897949,0,-362.605178833,-1087.81512452,0
0,1,10,2,80.578948974,80.57897949,0,-443.18409729,-1087.81512452,0
0,0,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,1,10,2,80.578948974,80.57897949,0,-443.18409729,-1087.81512452,0
0,1,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,1,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
0,1,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
0,1,12,0,80.578933715,80.57897949,0,-282.02632904,-1248.97296143,0
0,1,12,1,80.578918457,80.57885742,0,-282.026306153,-1168.39404297,0
0,1,12,2,80.578918457,80.57897949,0,-282.026275635,-1087.81512452,0
0,1,11,2,80.57888794,80.57897949,0,-362.605178833,-1087.81512452,0
0,0,12,1,80.578918457,80.57885742,0,-282.026306153,-1168.39404297,0
0,1,11,2,80.57888794,80.57897949,0,-362.605178833,-1087.81512452,0
0,1,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,1,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
0,1,12,0,80.578933715,80.57897949,0,-282.02632904,-1248.97296143,0
0,1,13,0,80.578918457,80.57897949,0,-201.447402954,-1248.97296143,0
0,1,13,1,80.578903198,80.57885742,0,-201.447395325,-1168.39404297,0
0,1,13,2,80.578903198,80.57897949,0,-201.447364807,-1087.81512452,0
0,1,12,2,80.578918457,80.57897949,0,-282.026275635,-1087.81512452,0
0,0,13,1,80.578903198,80.57885742,0,-201.447395325,-1168.39404297,0
